code,year_,freq,ITEM5601,ITEM6008,ITEM8001,ITEM9304
12078,2016,A,UNVR,ID1000095706,2.96044E14,62.93107
12137,2016,A,,ID0008892205,,
12149,2016,A,SMAR,ID1000101504,1.2494041E13,1.22561
12178,2016,A,SAFE,ID1000067309,54132761056,-1.69441
12341,2016,A,,,,
12343,2016,A,,,,
12419,2016,A,INFN,IL0006320183,839631576.5,0.84262
12494,2016,A,FUL,IT0001487047,14872478.95,2.25615
12514,2016,A,RM,IT0001178299,115232409.32,0.74295
12518,2016,A,RM,IT0001178299,115315968.75,0.74295
12582,2016,A,CIR,IT0000070786,274018978.76,0.48635
12584,2016,A,CIR,IT0000070786,274018978.76,0.48635
12585,2016,A,CIR,IT0000080447,687694121.27,0.65353
12588,2016,A,CIR,IT0000080447,687694121.27,0.65353
12602,2016,A,DAN,IT0000076502,607072303.2,0.67048
12604,2016,A,DAN,IT0000076502,1191111819.9,0.67048
12623,2016,A,BE,IT0001223277,73450128.06,0.69225
12627,2016,A,GE,IT0003203947,40023439.344,0.59819
12629,2016,A,SOL,IT0001206769,722879000,1.53138
12638,2016,A,ITW,IT0003057624,11166238.72,1.25774
12656,2016,A,CASS,IT0000784154,939094976.23,0.50628
12694,2016,A,WBD,IT0003865570,1468183078.6,1.22243
12696,2016,A,WBD,IT0003865570,1473032782.6,1.22243
12720,2016,A,IT,IT0001465159,,
12723,2016,A,IT,IT0001465159,,
12755,2016,A,,,,
12771,2016,A,PRO,IT0001073045,115449580.27,0.74509
12795,2016,A,DEA,IT0001431805,312926160.91,0.59132
12798,2016,A,PRI,IT0003124663,165845394.68,1.20405
12803,2016,A,TXT,IT0001454435,87390877.5,2.54912
12836,2016,A,DAL,IT0004053440,1086716256.8,3.23048
12842,2016,A,MN,IT0001469383,306074036.14,1.06526
12844,2016,A,MN,IT0001469383,306074036.14,1.06526
12860,2016,A,,,,
12864,2016,A,B,IT0004412497,114705906.83,-14.27005
12912,2016,A,CE,IT0003121677,1889373175.1,0.76367
12913,2016,A,CE,IT0003121677,1889373175.1,0.76367
13034,2016,A,SO,IT0000076536,283740417.74,1.6407
13057,2016,A,SNA,IT0000074903,247877510.64,2.09161
13066,2016,A,VIA,IT0003127898,33868560.375,0.33564
13082,2016,A,PR,IT0003676282,,
13084,2016,A,PR,IT0003676282,,
13114,2016,A,AMP,IT0004056880,1984231061.6,3.55998
13151,2016,A,IP,IT0001078911,1657591778.1,2.46027
13628,2016,A,,,,
13651,2016,A,,,,
14144,2016,A,,,,
