gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,gind
061380,20161231,2016,FS,C,D,STD,ERIE,ERIE INDEMNITY CO,USD,A,403010
061380,20161231,2016,INDL,C,D,STD,ERIE,ERIE INDEMNITY CO,USD,A,403010
061399,20160630,2016,INDL,C,D,STD,MYGN,MYRIAD GENETICS INC,USD,A,352010
061408,20161231,2016,FS,C,D,STD,THG,HANOVER INSURANCE GROUP INC,USD,A,403010
061408,20161231,2016,INDL,C,D,STD,THG,HANOVER INSURANCE GROUP INC,USD,A,403010
061409,20161231,2016,INDL,C,D,STD,DO,DIAMOND OFFSHRE DRILLING INC,USD,A,101010
061418,20160930,2016,INDL,C,D,STD,RICK,RCI HOSPITALITY HLDGS INC,USD,A,253010
061420,20161231,2016,INDL,C,D,STD,POOL,POOL CORP,USD,A,255010
061483,20161231,2016,INDL,C,D,STD,DVA,DAVITA INC,USD,A,351020
061487,20161231,2016,FS,C,D,STD,BANR,BANNER CORP,USD,A,401010
061487,20161231,2016,INDL,C,D,STD,BANR,BANNER CORP,USD,A,401010
061490,20161231,2016,INDL,C,D,STD,OPK,OPKO HEALTH INC,USD,A,351020
061494,20161231,2016,INDL,C,D,STD,HSIC,HENRY SCHEIN INC,USD,A,351020
061519,20161231,2016,INDL,C,D,STD,MATV,MATIV HOLDINGS INC,USD,A,151010
061562,20161231,2016,INDL,C,D,STD,AEIS,ADVANCED ENERGY INDS INC,USD,A,452030
061567,20160630,2016,INDL,C,D,STD,EL,ESTEE LAUDER COMPANIES INC,USD,A,303020
061574,20161231,2016,INDL,C,D,STD,WAT,WATERS CORP,USD,A,352030
061581,20161231,2016,INDL,C,D,STD,SAM,BOSTON BEER INC  -CL A,USD,A,302010
061585,20161231,2016,FS,C,D,STD,FFIC,FLUSHING FINANCIAL CORP,USD,A,401010
061585,20161231,2016,INDL,C,D,STD,FFIC,FLUSHING FINANCIAL CORP,USD,A,401010
061586,20161231,2016,FS,C,D,STD,IMH,IMPAC MORTGAGE HOLDINGS INC,USD,A,401020
061586,20161231,2016,INDL,C,D,STD,IMH,IMPAC MORTGAGE HOLDINGS INC,USD,A,401020
061587,20161231,2016,INDL,C,D,STD,IVAC,INTEVAC INC,USD,A,452020
061591,20160430,2015,INDL,C,D,STD,NTAP,NETAPP INC,USD,A,452020
061635,20161231,2016,INDL,C,D,STD,NWPX,NORTHWEST PIPE CO,USD,A,201030
061655,20161231,2016,INDL,C,D,STD,NVAX,NOVAVAX INC,USD,A,352010
061693,20161231,2016,FS,C,D,STD,HTLF,HEARTLAND FINANCIAL USA INC,USD,A,401010
